ID,Section,HSGPA,UPSGPA,SATM,SATR,SATW,ACT,Sex,Gender,Height,Weight,ShoeSz,Class,HSState,PubPriv,BirthMonth,Handedness,Shower,Work,Study,Exercise,CompLeisure,FinAid,TextAmt,TextPct,TextType,DietPref,Coffee,MacPC,Athlete,States,Siblings,OldestParent,YoungestParent,Shoes,Salary,Major
19233,F -Hieta-aho (2 p.m.),3.3,3.3,570,590,,,Female (XX),Female,72,130,10,Freshman,California,Public,July,Right,15,25,8,1,4,Yes,620,100,Purchased Used,No Preference,Yes,Mac,No,7,1,50,47,17,70000,Business
19234,C - Gibson (12 noon),3.9,3.9,,,,31,Female (XX),Female,64,,7.5,Freshman,Washington,Private,December,Right,20,0,22,2,20,No,165,75,Rented book,Other,No,Mac,No,21,2,55,52,20,,UND
19235,C - Gibson (12 noon),4,3.75,740,760,710,32,Female (XX),Female,63,110,7.5,Freshman,California,Public,February,Right,15,0,30,7,30,Yes,180,100,Purchased Used,No Preference,No,Mac,No,13,1,56,56,20,30000,UND
19236,B - Pickard (8 a.m.),3.5,3.75,,,,26,Male (XY),Male,72,147,10,Freshman,California,Public,July,Right,10,0,12,4,2,No,425,100,Purchased Used,No Preference,No,Windows(PC),No,7,1,50,46,7,25000,Humanities
19237,H - Paradise (2 p.m.),3.6,3.42,770,,770,30,Male (XY),Male,69,185,11.5,Freshman,Washington,Public,June,Right,12,10,14,15,6,Yes,114,70,Purchased Used,No Preference,No,Windows(PC),Yes,9,1,58,48,8,110000,Business
19238,B - Pickard (8 a.m.),3.5,2.3,,,,,Male (XY),Male,70,155,12,Sophomore,Washington,Public,July,Left,20,20,20,20,5,Yes,400,10,Purchased eBook,Other,Yes,Windows(PC),No,7,1,46,46,15,68000,Science
19239,H - Paradise (2 p.m.),3.7,2.3,,,,19,Female (XX),Female,67,145,10,Freshman,Nevada,Public,May,Right,15,0,25,6,42,Yes,200,50,Purchased New,No Preference,No,Mac,Yes,11,1,50,45,20,,Science
19240,E - Price (1 p.m.),3.4,3.3,,,,27,Female (XX),Female,66,150,8,Freshman,California,Private,February,Right,20,10,9,0,12,Yes,102,80,Purchased Used,No Preference,Yes,Mac,No,10,3,68,55,12,40000,Social Science
19241,A - Dove (8 a.m.),3.3,2.7,,,,22,Male (XY),Male,73,190,12.5,Freshman,California,Public,May,Right,7,0,5,25,15,Yes,50,75,Borrowed from a Friend,No Preference,No,Mac,Yes,18,1,53,52,7,50000,UND
19242,H - Paradise (2 p.m.),4,3.75,670,740,740,27,Male (XY),Male,76,215,12.5,,Colorado,Public,October,Left,7,,16,12,7,Yes,215,100,Purchased Used,Vegan or Vegetarian,No,Mac,Yes,8,1,57,57,6,70000,Social Science
19243,F -Hieta-aho (2 p.m.),,,550,640,,,Male (XY),Male,68,110,8,Freshman,California,Public,November,Right,20,0,3,3,6,Yes,190,100,Purchased Used,No Preference,No,Windows(PC),No,13,3,55,52,2,50000,UND
